"date","latitude","longitude"
"2021-08-26","1.3740392066","103.7377652684"
"2021-08-24","1.3096440298","103.9450684246"
"2021-08-23","1.2222284334","103.6385496654"
"2021-08-22","1.5924196134","103.9908629675"
"2021-08-22","1.5785369393","103.8302040141"
"2021-08-22","1.5014265312","103.8444748603"
"2021-08-21","1.2238961268","103.8084587564"
"2021-08-21","1.2928027622","103.9379954756"
"2021-08-21","1.3501077265","103.918655803"
"2021-08-21","1.2922191549","103.8547281428"
"2021-08-21","1.2317910781","103.8769895213"
"2021-08-21","1.3366075342","103.9915208634"
"2021-08-21","1.2171221847","103.9750263812"
"2021-08-21","1.3852190646","103.9571156093"
"2021-08-18","1.2820113007","103.7879810505"
"2021-08-16","1.2962341302","103.8233631169"
"2021-08-16","1.2004278373","103.8584258925"
"2021-08-16","1.3919725256","103.9594814272"
"2021-08-15","1.3230931508","103.8168437827"
"2021-08-08","1.3075908156","103.9357103319"
"2021-08-08","1.2522866731","103.9661710888"
"2021-08-07","1.3176031168","103.8186729968"
"2021-08-03","1.3596696585","103.8730075281"
"2021-07-31","1.2418326919","103.8291894388"
"2021-07-28","1.2005433051","103.9806464883"
"2021-07-24","1.366175126","103.8562809596"
"2021-07-24","1.2335577432","103.9003574509"
"2021-07-22","1.2411010106","103.8610886722"
"2021-07-21","1.2188749349","103.8731485549"
"2021-07-20","1.212085584","103.9359426346"
"2021-07-20","1.2261481586","103.7257232251"
"2021-07-18","1.4681649185","103.8487118476"
"2021-07-18","1.5326896784","103.8947854102"
"2021-07-18","1.5284048503","103.9424247081"
"2021-07-14","1.3692009765","103.7177649487"
"2021-07-14","1.2737322675","103.6427332994"
"2021-07-02","1.3441014695","103.9847143357"
"2021-07-01","1.4252686197","103.8825959629"
"2021-06-27","1.294270586","103.9687354472"
"2021-06-25","1.2346013894","103.6024375464"
"2021-06-24","1.2353142122","103.9996045513"
"2021-06-24","1.3749202787","103.8385884276"
"2021-06-24","1.5846472713","103.6620850211"
"2021-06-23","1.2383597801","103.8990930087"
"2021-06-20","1.3387993504","103.9078215432"
"2021-06-17","1.4197059924","103.9279054399"
"2021-06-16","1.3946322097","103.900470033"
"2021-06-15","1.4793618629","103.9544160976"
"2021-06-14","1.3100384525","103.9642766314"
"2021-06-13","1.3826944464","103.9789508669"
"2021-06-13","1.5822060975","103.8978967661"
"2021-06-11","1.4516966242","103.7409963336"
"2021-06-11","1.4885492987","103.8166731626"
"2021-06-11","1.2214837012","103.9630667044"
"2021-06-07","1.4309224373","103.7028920392"
"2021-06-07","1.4915300817","103.7611904538"
"2021-06-07","1.393808075","103.919972982"
"2021-06-05","1.3390492401","103.8253511691"
"2021-06-05","1.3659019787","103.916832002"
"2021-06-04","1.4555050458","103.8059764184"
"2021-06-03","1.3346855389","103.9987198897"
"2021-05-30","1.3753530497","103.966099065"
"2021-05-26","1.4479262753","103.8652233666"
"2021-05-26","1.3314503814","103.9849703644"
"2021-05-24","1.3121691593","103.8602124875"
"2021-05-18","1.3476296196","103.9378288135"
"2021-05-17","1.5400493217","103.8228773552"
"2021-05-15","1.3630865593","103.9410666227"
"2021-05-15","1.231299848","103.8719373128"
"2021-05-14","1.2904420672","103.6964063917"
"2021-05-12","1.5195557591","103.8661991217"
"2021-05-08","1.2054663989","103.8082892676"
"2021-05-08","1.2459438139","103.682213003"
"2021-05-05","1.3691412366","103.8130163268"
"2021-04-30","1.3934702768","103.8485454733"
"2021-04-29","1.2430156483","103.8352407421"
"2021-04-27","1.3437772704","103.9487808583"
"2021-04-23","1.2999685319","103.9006390745"
"2021-04-18","1.3418530064","103.9120465079"
"2021-04-18","1.3659581423","103.8951592002"
"2021-04-18","1.4602546106","103.8077846102"
"2021-04-12","1.256107545","103.9693118249"
"2021-04-11","1.3309002344","103.6069054283"
"2021-04-11","1.2567853383","103.7435324335"
"2021-04-10","1.3645749576","103.8806139034"
"2021-04-10","1.3074042888","103.6635704501"
"2021-04-09","1.251210224","103.985115874"
"2021-04-03","1.3951373259","103.9445432442"
"2021-04-03","1.2446952733","103.9959908812"
"2021-04-02","1.3401132087","103.8046025289"
